City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
586,Eureka,40.8021,-124.1637,overcast clouds,50.0,98,100,8.99,US,2021-04-20 13:15:25
587,Wanaka,-44.7,169.15,broken clouds,51.01,84,68,3.36,NZ,2021-04-20 13:13:49
588,Tefe,-3.3542,-64.7114,scattered clouds,80.6,94,40,6.91,BR,2021-04-20 13:17:09
589,Puerto Del Rosario,28.5004,-13.8627,few clouds,73.4,64,20,17.27,ES,2021-04-20 13:17:09
590,Gizo,-8.103,156.8419,overcast clouds,83.32,74,100,5.68,SB,2021-04-20 13:17:10
591,Akkermanovka,51.2467,58.2391,clear sky,44.6,31,0,15.66,RU,2021-04-20 13:17:10
592,Aksarka,66.5606,67.7975,overcast clouds,26.85,87,96,2.84,RU,2021-04-20 13:17:10
593,Sikeston,36.8767,-89.5879,clear sky,44.6,81,1,8.05,US,2021-04-20 13:16:22
594,Coroico,-16.1889,-67.7271,few clouds,48.2,66,20,2.3,BO,2021-04-20 13:17:11
595,Coro,11.4045,-69.6734,overcast clouds,80.71,70,91,18.68,VE,2021-04-20 13:17:11
596,Njombe,-9.3333,34.7667,overcast clouds,63.82,78,100,8.3,TZ,2021-04-20 13:17:11
597,Sioux Lookout,50.1001,-91.917,overcast clouds,21.2,58,90,4.61,CA,2021-04-20 13:17:12
598,Bosaso,11.2842,49.1816,scattered clouds,82.4,89,40,18.41,SO,2021-04-20 13:17:12
599,Ugoofaaru,5.6667,73.0,overcast clouds,83.71,69,98,7.49,MV,2021-04-20 13:16:54
600,Pisco,-13.7,-76.2167,few clouds,68.0,77,11,6.91,PE,2021-04-20 13:17:12
601,Brazzaville,-4.2658,15.2832,few clouds,89.6,55,20,4.61,CG,2021-04-20 13:17:13
602,Hualmay,-11.0964,-77.6139,clear sky,68.9,82,6,8.86,PE,2021-04-20 13:17:13
603,Machiques,10.0644,-72.545,overcast clouds,83.28,57,100,2.15,VE,2021-04-20 13:17:13
604,Saint-Michel-Des-Saints,46.6834,-73.9159,overcast clouds,39.0,83,100,10.4,CA,2021-04-20 13:17:14
605,Lardos,36.0942,28.0157,few clouds,68.0,55,20,18.41,GR,2021-04-20 13:17:14
606,Jian,27.1172,114.9793,light rain,71.29,83,95,1.88,CN,2021-04-20 13:17:14
607,Novikovo,51.1537,37.8879,heavy intensity rain,49.26,87,100,15.86,RU,2021-04-20 13:17:14
608,Morondava,-20.2833,44.2833,overcast clouds,82.69,65,100,10.31,MG,2021-04-20 13:17:15
609,Kushiro,42.975,144.3747,clear sky,38.57,53,0,15.23,JP,2021-04-20 13:17:15
610,Inyonga,-6.7167,32.0667,overcast clouds,71.74,75,100,2.8,TZ,2021-04-20 13:17:15
611,Dapaong,10.8639,0.205,few clouds,101.14,25,12,6.06,TG,2021-04-20 13:17:15
612,Kudahuvadhoo,2.6708,72.8944,overcast clouds,83.01,65,100,7.0,MV,2021-04-20 13:17:16
613,Emerald,-23.5333,148.1667,overcast clouds,77.0,53,90,8.05,AU,2021-04-20 13:17:16
614,Kailua,21.4022,-157.7394,few clouds,73.4,83,20,3.29,US,2021-04-20 13:17:16
615,Hami,42.8,93.45,clear sky,70.39,22,4,2.21,CN,2021-04-20 13:17:17
